TYPE,YEAR,HUNDRED_BLOCK,X,Y
Theft from Vehicle,2016,19XX ROBSON ST,490028.12,5459980.69
Theft of Vehicle,2016,1XX SEMLIN DR,495380.95,5458971.04
Other Theft,2016,2XX E GEORGIA ST,492800.16,5458431.82
Other Theft,2016,2XX E GEORGIA ST,492774.87,5458432.39
Mischief,2016,E 42ND AVE / WALES ST,496240.74,5453220.65
Theft from Vehicle,2016,19XX ROBSON ST,490031.25,5459990.75
Theft from Vehicle,2016,19XX ROBSON ST,490031.25,5459990.75
Theft from Vehicle,2016,19XX ROBSON ST,490031.25,5459990.75
Theft from Vehicle,2016,19XX ROBSON ST,490031.25,5459990.75
Mischief,2016,5XX CASSIAR ST,497759.87,5458486.95
Theft of Vehicle,2016,CAMBIE ST / W 24TH AVE,491604.57,5455264.73
Theft from Vehicle,2016,19XX SCOTIA ST,492843.25,5457216.46
Theft from Vehicle,2016,19XX SCOTIA ST,492854.11,5457215.16
Theft from Vehicle,2016,19XX SCOTIA ST,492854.11,5457215.16
Mischief,2016,E 44TH AVE / RUPERT ST,496858.34,5453045.53
Mischief,2016,5XX COLUMBIA ST,492552.92,5458566.34
Theft from Vehicle,2016,19XX SCOTIA ST,492857.2,5457218.83
Theft of Vehicle,2016,CAMBIE ST / W 39TH AVE,491534.09,5453631.06
Theft from Vehicle,2016,8XX BEATTY ST,491645.65,5458249.79
Mischief,2016,E 45TH AVE / RUPERT ST,496861.7,5452947.74
Theft from Vehicle,2016,19XX STAINSBURY AVE,495249.87,5455410.02
Theft from Vehicle,2016,35XX E 45TH AVE,498058.8,5452943.23
Mischief,2016,5XX COLUMBIA ST,492554.39,5458590.28
Theft from Vehicle,2016,45XX W 15TH AVE,484733.3,5456297.92
Theft from Vehicle,2016,19XX STEPHENS ST,487904.49,5457396.27
Theft from Vehicle,2016,35XX E 45TH AVE,497885.39,5452945.37
Theft from Vehicle,2016,19XX TEMPLETON DR,495639.81,5457185.83
Theft from Vehicle,2016,19XX TEMPLETON DR,495639.95,5457213.38
Theft from Vehicle,2016,19XX TOLMIE ST,484577.82,5457423.74
Theft from Vehicle,2016,19XX TRAFALGAR ST,488026.25,5457341.94
Mischief,2016,4XX E HASTINGS ST,493142.21,5458721.9
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,2XX DAVIE ST,491152.0,5457941.05
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,84XX GRANVILLE ST,489772.33,5450796.49
Theft from Vehicle,2016,19XX TURNER ST,495295.54,5458494.62
Theft from Vehicle,2016,19XX TURNER ST,495331.88,5458493.96
Theft of Vehicle,2016,CAMBIE ST / W 57TH AVE,491486.89,5451814.68
Theft from Vehicle,2016,14XX STRATHMORE MEWS,490780.71,5457831.23
Theft from Vehicle,2016,19XX VENABLES ST,495314.93,5458214.76
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft from Vehicle,2016,19XX W 10TH AVE,489210.05,5456675.53
Theft from Vehicle,2016,19XX W 10TH AVE,489210.05,5456675.53
Other Theft,2016,84XX GRANVILLE ST,489762.86,5450783.83
Theft from Vehicle,2016,19XX W 11TH AVE,489207.44,5456573.09
Theft of Vehicle,2016,CAMBIE ST / W 60TH AVE,491476.71,5451466.9
Theft from Vehicle,2016,19XX W 12TH AVE,489099.46,5456476.73
Theft of Vehicle,2016,CAMBIE ST / W 64TH AVE,491465.04,5451065.0
Break and Enter Commercial,2016,9XX W 8TH AVE,490864.49,5456841.74
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,2XX DAVIE ST,491145.89,5457946.78
Theft from Vehicle,2016,19XX W 13TH AVE,489128.34,5456364.77
Other Theft,2016,8XX W BROADWAY AVE,490996.2,5456744.79
Theft of Vehicle,2016,CAMBIE ST / W 7TH AVE,491643.11,5456918.37
Other Theft,2016,8XX W BROADWAY AVE,490996.2,5456744.79
Theft from Vehicle,2016,19XX W 14TH AVE,489050.21,5456276.68
Theft from Vehicle,2016,4XX E PENDER ST,493141.91,5458623.09
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Mischief,2016,E 4TH AVE / MCLEAN DR,494508.6,5457129.46
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft from Vehicle,2016,19XX W 15TH AVE,489058.98,5456161.58
Break and Enter Commercial,2016,9XX W 8TH AVE,490864.49,5456841.74
Theft from Vehicle,2016,19XX W 15TH AVE,489158.18,5456167.45
Theft from Vehicle,2016,19XX W 15TH AVE,489170.63,5456157.89
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft from Vehicle,2016,19XX W 15TH AVE,489199.63,5456156.93
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft from Vehicle,2016,19XX W 17TH AVE,489192.14,5455950.73
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft from Vehicle,2016,19XX W 19TH AVE,489183.06,5455760.31
Mischief,2016,5XX COLUMBIA ST,492566.0,5458630.41
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Mischief,2016,5XX COLUMBIA ST,492566.0,5458630.41
Mischief,2016,E 4TH AVE / RENFREW ST,496779.26,5457101.52
Theft from Vehicle,2016,19XX W 1ST AVE,489178.39,5457566.22
Theft from Vehicle,2016,19XX W 1ST AVE,489178.39,5457566.22
Theft from Vehicle,2016,19XX W 1ST AVE,489178.39,5457566.22
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,10XX DENMAN ST,489891.03,5459599.41
Theft from Vehicle,2016,19XX W 1ST AVE,489181.41,5457556.99
Mischief,2016,5XX COLUMBIA ST,492566.31,5458635.38
Theft from Vehicle,2016,19XX W 1ST AVE,489233.7,5457555.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft from Vehicle,2016,19XX W 2ND AVE,489172.63,5457468.6
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft from Vehicle,2016,35XX E 27TH AVE,498074.1,5454819.76
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft from Vehicle,2016,19XX W 35TH AVE,488982.77,5454155.83
Theft from Vehicle,2016,45XX W 14TH AVE,484651.34,5456401.73
Theft from Vehicle,2016,19XX W 36TH AVE,489029.67,5454053.43
Theft from Vehicle,2016,19XX W 36TH AVE,489079.67,5454043.07
Theft from Vehicle,2016,45XX W 13TH AVE,484766.57,5456499.29
Theft from Vehicle,2016,19XX W 37TH AVE,489166.96,5453940.76
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft from Vehicle,2016,19XX W 3RD AVE,489118.99,5457363.7
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft from Vehicle,2016,19XX W 3RD AVE,489228.43,5457361.01
Mischief,2016,5XX E 41ST AVE,493176.45,5453348.11
Theft from Vehicle,2016,19XX W 41ST AVE,488950.68,5453534.06
Theft from Vehicle,2016,19XX W 41ST AVE,489131.18,5453529.2
Theft from Vehicle,2016,19XX W 41ST AVE,489131.18,5453529.2
Theft from Vehicle,2016,19XX W 41ST AVE,489131.18,5453529.2
Theft from Vehicle,2016,19XX W 43RD AVE,488973.75,5453324.76
Theft from Vehicle,2016,45XX W 13TH AVE,484758.75,5456508.64
Theft from Vehicle,2016,45XX W 13TH AVE,484734.56,5456509.27
Theft from Vehicle,2016,45XX W 12TH AVE,484769.2,5456599.3
Mischief,2016,5XX E 41ST AVE,493176.45,5453348.11
Theft from Vehicle,2016,9XX E 37TH AVE,493769.42,5453746.38
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft from Vehicle,2016,19XX W 44TH AVE,489065.47,5453224.83
Theft from Vehicle,2016,19XX W 44TH AVE,489065.47,5453224.83
Theft from Vehicle,2016,19XX W 44TH AVE,489065.47,5453224.83
Theft from Vehicle,2016,19XX W 44TH AVE,489067.23,5453224.77
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft from Vehicle,2016,45XX W 12TH AVE,484672.49,5456601.59
Other Theft,2016,23XX CAMBIE ST,491637.24,5456828.42
Theft from Vehicle,2016,45XX W 12TH AVE,484615.93,5456602.92
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft from Vehicle,2016,19XX W 4TH AVE,489155.19,5457270.9
Theft from Vehicle,2016,19XX W 4TH AVE,489161.63,5457270.74
Theft of Vehicle,2016,CAMBIE ST / W PENDER ST,491994.95,5458762.17
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Other Theft,2016,23XX CAMBIE ST,491637.21,5456826.57
Theft of Vehicle,2016,CAMBIE ST / W PENDER ST,491994.95,5458762.17
Theft from Vehicle,2016,19XX W 4TH AVE,489190.64,5457270.01
Mischief,2016,E 54TH AVE / VICTORIA DR,495203.36,5451944.43
Break and Enter Commercial,2016,9XX W 8 AV,490864.49,5456841.74
Theft from Vehicle,2016,19XX W 4TH AVE,489229.36,5457259.89
Theft from Vehicle,2016,19XX W 52ND AVE,488906.15,5452398.37
Theft of Vehicle,2016,CAMBIE ST / WATER ST,492085.82,5459067.74
Theft from Vehicle,2016,19XX W 5TH AVE,489146.43,5457175.65
Theft of Vehicle,2016,CAMBRIDGE ST / N GARDEN DR,495801.82,5459318.24
Other Theft,2016,10XX DENMAN ST,489889.88,5459598.27
Theft from Vehicle,2016,COTTON DR / VENABLES ST,494805.44,5458216.61
Theft from Vehicle,2016,35XX E 25TH AVE,498031.63,5455009.46
Theft from Vehicle,2016,45XX W 11TH AVE,484772.33,5456701.35
Theft from Vehicle,2016,COTTON DR / WILLIAM ST,494801.36,5457912.06
Mischief,2016,E 58TH AVE / PRINCE EDWARD ST,492880.1,5451610.92
Theft from Vehicle,2016,35XX E 25TH AVE,497995.22,5455018.48
Mischief,2016,2XX W 2ND AVE,491984.9,5457362.58
Theft from Vehicle,2016,19XX W 7TH AVE,489119.61,5456979.2
Mischief,2016,4XX E HASTINGS ST,493142.21,5458721.9
Theft of Vehicle,2016,CAMPBELL AVE / E PENDER ST,493829.48,5458598.18
Theft from Vehicle,2016,19XX W 7TH AVE,489218.29,5456977.35
Theft of Vehicle,2016,CAMPBELL AVE / E PENDER ST,493829.48,5458598.18
Theft from Vehicle,2016,45XX W 11TH AVE,484772.33,5456701.35
Theft from Vehicle,2016,14XX VENABLES ST,494503.9,5458218.64
Theft from Vehicle,2016,19XX W BROADWAY AVE,489203.33,5456791.07
Theft from Vehicle,2016,19XX W GEORGIA ST,490133.98,5460141.84
Mischief,2016,E 5TH AVE / SKEENA ST,497928.61,5456993.65
Theft of Vehicle,2016,2XX N TEMPLETON DR,495664.97,5459356.85
Theft from Vehicle,2016,8XX CAMBIE ST,491635.56,5458381.09
Mischief,2016,X NK_LOC ST,492757.49,5458792.47
Mischief,2016,X NK_LOC ST,492757.49,5458792.47
Theft from Vehicle,2016,19XX WHYTE AVE,489132.13,5458073.16
Mischief,2016,X NK_LOC ST,492757.49,5458792.47
Theft from Vehicle,2016,19XX WHYTE AVE,489151.38,5458072.61
Theft from Vehicle,2016,12XX BIDWELL ST,489727.72,5459217.15
Theft from Vehicle,2016,19XX YEW ST,488720.79,5457372.74
Mischief,2016,5XX DENMAN ST,490359.3,5460086.85
Break and Enter Residential/Other,2016,11XX W 7TH AVE,490482.13,5456943.8
Theft from Vehicle,2016,COTTON DR / WILLIAM ST,494801.36,5457912.06
Theft from Vehicle,2016,19XX WILLIAM ST,495221.49,5457895.71
Theft from Vehicle,2016,14XX VENABLES ST,494648.62,5458215.91
Theft of Vehicle,2016,2XX NELSON ST,491399.07,5458157.81
Theft of Vehicle,2016,2XX NELSON ST,491400.24,5458156.68
Theft from Vehicle,2016,19XX WYLIE ST,491715.08,5457282.46
Theft of Vehicle,2016,CAROLINA ST / E 16TH AVE,493316.8,5455967.47
Theft from Vehicle,2016,45XX W 11TH AVE,484663.44,5456704.21
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Theft from Vehicle,2016,35XX E 11TH AVE,497935.7,5456366.99
Theft from Vehicle,2016,19XX YORK AVE,489206.89,5457652.9
Theft of Vehicle,2016,2XX POWELL ST,492763.14,5458937.78
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Theft from Vehicle,2016,19XX YORK AVE,489236.35,5457652.1
Theft from Vehicle,2016,14XX VICTORIA DR,495223.09,5457643.37
Theft from Vehicle,2016,45XX W 11TH AVE,484631.76,5456705.04
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Theft from Vehicle,2016,1X ATHLETES WAY,492372.73,5457639.77
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Theft from Vehicle,2016,4XX E PENDER ST,493131.39,5458623.32
Theft from Vehicle,2016,35XX DUNDAS ST,497964.18,5459108.15
Mischief,2016,X NK_LOC ST,492757.49,5458792.47
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Mischief,2016,X NK_LOC ST,492757.49,5458792.47
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Theft from Vehicle,2016,1X E 63RD AVE,492285.78,5451179.26
Mischief,2016,X NK_LOC ST,492757.49,5458792.47
Mischief,2016,E 6TH AVE / GUELPH ST,493097.29,5456949.36
Other Theft,2016,25XX HEMLOCK ST,490093.46,5456745.02
Theft from Vehicle,2016,1X E HASTINGS ST,492435.62,5458744.22
Theft from Vehicle,2016,1X E PENDER ST,492435.99,5458646.37
Theft from Vehicle,2016,1X KOOTENAY ST,498134.86,5459096.3
Theft from Vehicle,2016,1X LAKEWOOD DR,495523.11,5459101.45
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Theft from Vehicle,2016,1X MIDLOTHIAN AVE,492214.88,5454252.93
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Break and Enter Commercial,2016,9XX W 7TH AVE,490925.62,5456932.51
Other Theft,2016,7XX GRANVILLE ST,491394.12,5458844.26
Other Theft,2016,25XX MAPLE ST,489051.53,5456783.4
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Other Theft,2016,7XX GRANVILLE ST,491394.12,5458844.26
Mischief,2016,X NK_LOC ST,492757.49,5458792.47
Mischief,2016,X NK_LOC ST,492765.94,5458793.3
Theft from Vehicle,2016,COTTRELL ST / TERMINAL AVE,493898.59,5457459.06
Theft from Vehicle,2016,1X W 15TH AVE,492320.06,5456099.4
Theft from Vehicle,2016,14XX W 10TH AVE,489967.47,5456665.05
Theft from Vehicle,2016,1X W 20TH AVE,492337.11,5455556.21
Theft from Vehicle,2016,8XX BEATTY ST,491645.65,5458249.79
Other Theft,2016,6XX GRANVILLE ST,491516.63,5458980.6
Theft from Vehicle,2016,1X W 42ND AVE,492273.24,5453281.21
Theft from Vehicle,2016,1X W 4TH AVE,492352.67,5457180.83
Theft from Vehicle,2016,11XX CAMBIE STREET BRDG,491483.51,5458079.93
Theft from Vehicle,2016,1X W BROADWAY AVE,492338.25,5456696.13
Theft from Vehicle,2016,1X W CORDOVA ST,492385.36,5458872.45
Theft from Vehicle,2016,1X W CORDOVA ST,492385.36,5458872.45
Theft from Vehicle,2016,12XX BIDWELL ST,489769.71,5459260.06
Theft from Vehicle,2016,1X W CORDOVA ST,492387.98,5458871.66
Theft of Vehicle,2016,CARRALL ST / PACIFIC BLVD,492257.6,5458266.56
Other Theft,2016,25XX GRANVILLE ST,489914.32,5456758.47
Other Theft,2016,6XX W 41ST AVE,491253.17,5453429.86
Mischief,2016,E 7TH AVE / NOOTKA ST,496977.42,5456788.38
Theft from Vehicle,2016,6XX E 53RD AVE,493262.03,5452109.12
Theft from Vehicle,2016,1X WATER ST,492396.28,5458979.54
Other Theft,2016,25XX GRANVILLE ST,489923.39,5456764.58
Theft from Vehicle,2016,14XX W 10TH AVE,490085.83,5456652.1
Other Theft,2016,25XX MAIN ST,492648.38,5456626.09
Theft from Vehicle,2016,1XX ABBOTT ST,492274.13,5459061.33
Theft from Vehicle,2016,1XX ABBOTT ST,492274.13,5459061.33
Theft from Vehicle,2016,1XX ABBOTT ST,492274.13,5459061.33
Theft from Vehicle,2016,1XX ABBOTT ST,492274.13,5459061.33
Theft from Vehicle,2016,1XX ABBOTT ST,492274.13,5459061.33
Theft from Vehicle,2016,1XX ABBOTT ST,492274.31,5459062.2
Theft from Vehicle,2016,1XX ABBOTT ST,492274.31,5459062.2
Theft from Vehicle,2016,1XX ABBOTT ST,492274.31,5459062.2
Theft from Vehicle,2016,1XX ABBOTT ST,492274.31,5459062.2
Theft from Vehicle,2016,1XX ABBOTT ST,492274.31,5459062.2
Mischief,2016,E 7TH AVE / ONTARIO ST,492373.86,5456884.39
Theft of Vehicle,2016,CARRALL ST / WATER ST,492420.23,5458974.17
Theft from Vehicle,2016,E 23RD AVE / SOPHIA ST,492818.85,5455277.88
Mischief,2016,E 7TH AVE / PRINCE ALBERT ST,493659.85,5456842.89
Mischief,2016,E 7TH AVE / ST CATHERINES ST,493800.9,5456840.92
Theft from Vehicle,2016,1XX ALEXANDER ST,492575.46,5459006.02
Theft from Vehicle,2016,1XX ALEXANDER ST,492575.46,5459006.02
Theft from Vehicle,2016,1XX ALEXANDER ST,492575.46,5459006.02
Theft from Vehicle,2016,85XX FREMLIN ST,490720.08,5450721.0
Theft of Vehicle,2016,CASSIAR ST / E 6TH AVE,497743.97,5456882.32
Theft of Bicycle,2016,1XX W 49TH AVE,492098.96,5452560.17
Theft of Vehicle,2016,CENTRAL ST / STATION ST,492866.26,5457590.15
Theft of Vehicle,2016,2XX RENFREW ST,496805.2,5458908.53
Theft from Vehicle,2016,E 23RD AVE / ST CATHERINES ST,493756.07,5455256.66
Theft of Vehicle,2016,2XX ROBSON ST,491626.21,5458395.54
Other Theft,2016,25XX MAIN ST,492648.38,5456626.09
Other Theft,2016,7XX GRANVILLE ST,491394.12,5458844.26
Other Theft,2016,26XX GRANVILLE ST,489914.72,5456627.31
Other Theft,2016,10XX DENMAN ST,489842.07,5459563.55
Other Theft,2016,10XX DENMAN ST,489875.11,5459583.55
Mischief,2016,E 8TH AVE / GLEN DR,494082.67,5456736.34
Theft from Vehicle,2016,1XX ALEXANDER ST,492580.91,5459007.44
Theft from Vehicle,2016,1XX ALEXANDER ST,492580.91,5459007.44
Theft from Vehicle,2016,1XX ALEXANDER ST,492580.91,5459007.44
Theft from Vehicle,2016,1XX ALEXANDER ST,492580.91,5459007.44
Theft from Vehicle,2016,1XX ALEXANDER ST,492580.91,5459007.44
Theft from Vehicle,2016,1XX ALEXANDER ST,492580.91,5459007.44
Theft from Vehicle,2016,1XX ALEXANDER ST,492580.91,5459007.44
Theft from Vehicle,2016,1XX ALEXANDER ST,492580.91,5459007.44
Theft from Vehicle,2016,1XX ALEXANDER ST,492580.91,5459007.44
Theft from Vehicle,2016,1XX ALEXANDER ST,492580.91,5459007.44
Theft from Vehicle,2016,1XX ALEXANDER ST,492580.91,5459007.44
Mischief,2016,E 8TH AVE / LILLOOET ST,497157.87,5456684.79
Theft from Vehicle,2016,1XX ALEXANDER ST,492612.66,5459015.69
Theft from Vehicle,2016,1XX ALEXANDER ST,492656.22,5459036.46
Theft of Vehicle,2016,CHARLES ST / WOODLAND DR,494658.21,5457812.38
Other Theft,2016,26XX CAMBIE ST,491627.24,5456517.27
Theft from Vehicle,2016,1XX ALEXANDER ST,492714.6,5459037.73
Theft from Vehicle,2016,1XX ALEXANDER ST,492714.6,5459037.73
Theft of Vehicle,2016,CHILCO ST / HARO ST,489860.62,5460000.98
Theft from Vehicle,2016,1XX ALEXANDER ST,492739.81,5459047.68
Theft from Vehicle,2016,1XX ALEXANDER ST,492747.09,5459047.91
Mischief,2016,5XX DUNSMUIR ST,491626.73,5458908.16
Theft from Vehicle,2016,1XX AQUARIUS MEWS,491339.53,5457904.99
Theft from Vehicle,2016,4XX SE MARINE DR,493059.11,5450912.6
Mischief,2016,5XX DUNSMUIR ST,491626.73,5458908.16
Theft from Vehicle,2016,1XX ATHLETES WAY,492086.0,5457647.97
Theft from Vehicle,2016,1XX ATHLETES WAY,492086.0,5457647.97
Theft from Vehicle,2016,1XX ATHLETES WAY,492163.1,5457645.74
Theft from Vehicle,2016,1XX ATHLETES WAY,492232.85,5457643.73
Theft from Vehicle,2016,1XX ATHLETES WAY,492232.85,5457643.73
Mischief,2016,E BROADWAY AVE / KINGSWAY AVE,492749.52,5456683.81
Mischief,2016,E BROADWAY AVE / KINGSWAY AVE,492749.52,5456683.8
Other Theft,2016,6XX ROBSON ST,491325.35,5458709.81
Other Theft,2016,2XX CARRALL ST,492424.71,5458971.18
Other Theft,2016,2XX CARRALL ST,492424.71,5458971.18
Theft from Vehicle,2016,1XX CENTRAL ST,492692.4,5457644.49
Other Theft,2016,2XX CARRALL ST,492424.71,5458971.18
Theft from Vehicle,2016,1XX COLUMBIA ST,492574.65,5459006.18
Theft from Vehicle,2016,1XX COLUMBIA ST,492574.65,5459006.18
Theft from Vehicle,2016,1XX COLUMBIA ST,492574.65,5459006.18
Theft from Vehicle,2016,1XX COLUMBIA ST,492574.65,5459006.18
Theft from Vehicle,2016,1XX COLUMBIA ST,492574.71,5459008.6
Other Theft,2016,2XX CARRALL ST,492424.71,5458971.18
Theft from Vehicle,2016,35XX CROWLEY DR,497834.31,5453710.76
Other Theft,2016,2XX CARRALL ST,492424.71,5458971.18
Mischief,2016,E BROADWAY AVE / MAIN ST,492648.26,5456688.5
Theft from Vehicle,2016,E 23RD AVE / WINDSOR ST,493898.38,5455253.93
Other Theft,2016,2XX CARRALL ST,492424.71,5458971.18
Theft from Vehicle,2016,1XX DAVIE ST,491206.79,5457904.12
Theft from Vehicle,2016,E 24TH AVE / FRASER ST,493439.86,5455161.11
Theft from Vehicle,2016,E 24TH AVE / FRASER ST,493439.86,5455161.11
Other Theft,2016,26XX W 16TH AVE,487966.91,5456119.53
Theft from Vehicle,2016,1XX DAVIE ST,491208.53,5457902.31
Theft from Vehicle,2016,1XX DAVIE ST,491208.53,5457902.31
Theft from Vehicle,2016,1XX DAVIE ST,491208.53,5457902.31
Theft from Vehicle,2016,1XX DAVIE ST,491208.53,5457902.31
Theft from Vehicle,2016,1XX DAVIE ST,491208.53,5457902.31
Theft from Vehicle,2016,1XX DAVIE ST,491208.53,5457902.31
Theft from Vehicle,2016,11XX HOWE ST,490828.76,5458434.04
Break and Enter Residential/Other,2016,33XX W 40TH AVE,486956.69,5453676.26
Theft from Vehicle,2016,1XX DAVIE ST,491229.72,5457853.3
Other Theft,2016,29XX GRANVILLE ST,489910.45,5456343.18
Theft from Vehicle,2016,1XX DAVIE ST,491263.09,5457816.87
Other Theft,2016,6XX W 41ST AVE,491253.17,5453429.86
Mischief,2016,5XX DUNSMUIR ST,491626.73,5458908.16
Theft of Vehicle,2016,CLARK DR / VENABLES ST,494379.99,5458225.45
Theft from Vehicle,2016,1XX DRAKE ST,491014.47,5457858.29
Mischief,2016,E BROADWAY AVE / RENFREW ST,496775.76,5456576.93
Other Theft,2016,26XX W 16TH AVE,487966.91,5456119.53
Theft from Vehicle,2016,14XX W 11TH AVE,490083.22,5456548.1
Theft from Vehicle,2016,14XX W 11TH AVE,490083.22,5456548.1
Theft from Vehicle,2016,14XX W 11TH AVE,490083.22,5456548.1
Other Theft,2016,7XX GRANVILLE ST,491394.12,5458844.26
Theft from Vehicle,2016,35XX CORNETT RD,497962.98,5456497.57
Mischief,2016,E BROADWAY AVE / RENFREW ST,496775.76,5456576.93
Mischief,2016,E BROADWAY AVE / RUPERT ST,497539.19,5456571.05
Break and Enter Residential/Other,2016,11XX HARWOOD ST,490259.91,5458514.12
Theft from Vehicle,2016,1XX DRAKE ST,491015.8,5457857.02
Theft from Vehicle,2016,8XX BEATTY ST,491645.65,5458249.79
Mischief,2016,5XX DUNSMUIR ST,491641.8,5458893.02
Theft from Vehicle,2016,45XX TODD ST,496692.53,5454444.72
Theft of Vehicle,2016,COLUMBIA ST / E PENDER ST,492561.84,5458637.2
Theft from Vehicle,2016,1XX DRAKE ST,491068.98,5457806.06
Theft of Vehicle,2016,COLUMBIA ST / E PENDER ST,492561.84,5458637.2
Theft from Vehicle,2016,1XX DRAKE ST,491070.02,5457805.07
Theft from Vehicle,2016,35XX COPLEY ST,495776.74,5455295.23
Break and Enter Residential/Other,2016,11XX W 73RD AVE,490303.41,5450178.17
Theft of Vehicle,2016,19XX QUEBEC ST,492529.27,5457275.55
Theft of Vehicle,2016,2XX TEMPLETON DR,495661.02,5458913.59
Theft from Vehicle,2016,1XX DRAKE ST,491126.76,5457748.3
Theft from Vehicle,2016,1XX DRAKE ST,491126.76,5457748.3
Other Theft,2016,2XX CARRALL ST,492415.45,5458967.18
Theft from Vehicle,2016,1XX DRAKE ST,491161.17,5457700.61
Theft from Vehicle,2016,1XX DRAKE ST,491161.17,5457700.61
Theft from Vehicle,2016,1XX DRAKE ST,491161.17,5457700.61
Theft from Vehicle,2016,11XX E 18TH AVE,494096.02,5455744.31
Theft from Vehicle,2016,1XX DUNLEVY AVE,493074.12,5459028.59
Theft from Vehicle,2016,1XX DUNSMUIR ST,491946.84,5458590.46
Theft from Vehicle,2016,1XX DUNSMUIR ST,491946.84,5458590.46
Theft from Vehicle,2016,35XX COLUMBIA ST,491999.91,5455592.12
Theft of Vehicle,2016,2XX TERMINAL AVE,492956.01,5457739.45
Theft from Vehicle,2016,1XX DUNSMUIR ST,491956.98,5458580.57
Theft from Vehicle,2016,1XX DUNSMUIR ST,491956.98,5458580.57
Theft from Vehicle,2016,1XX DUNSMUIR ST,491956.98,5458580.57
Theft from Vehicle,2016,1XX DUNSMUIR ST,491956.98,5458580.57
Theft from Vehicle,2016,1XX DUNSMUIR ST,491958.33,5458579.25
Theft from Vehicle,2016,1XX DUNSMUIR ST,491958.33,5458579.25
Other Theft,2016,2XX CARRALL ST,492414.81,5458945.8
Other Theft,2016,2XX CARRALL ST,492414.81,5458945.8
Theft from Vehicle,2016,1XX DUNSMUIR ST,491997.7,5458515.12
